StationNumber,Lat,Lon,Address,State,City,County,Zip
722556,28.367,-97.667,"955 Independence St, Beeville, TX 78102, USA",TX,Beeville,Bee County,78102
722572,31.133,-97.717,"809 Pecan Cir, Killeen, TX 76549, USA",TX,Killeen,Bell County,76549
722583,32.852,-96.856,"3232 Love Field Dr, Dallas, TX 75235, USA",TX,Dallas,Dallas County,75235
722581,32.852,-96.856,"3232 Love Field Dr, Dallas, TX 75235, USA",TX,Dallas,Dallas County,75235
722585,32.733,-96.967,"Perimeter, Grand Prairie, TX 75051, USA",TX,Grand Prairie,Dallas County,75051
722586,29.267,-100.283,"US-90, Brackettville, TX 78832, USA",TX,Brackettville,Kinney County,78832
722596,32.819,-97.361,"Fort Worth, TX 76106, USA",TX,Fort Worth,Tarrant County,76106
722610,29.367,-100.917,"308 Airport Blvd, Del Rio, TX 78840, USA",TX,Del Rio,Val Verde County,78840
722615,29.367,-100.783,"US-90, Laughlin AFB, TX 78843, USA",TX,Laughlin Air Force Base,Val Verde County,78843
722626,30.371,-104.017,"Unnamed Road, Marfa, TX 79843, USA",TX,Marfa,Presidio County,79843
722626,30.371,-104.017,"Unnamed Road, Marfa, TX 79843, USA",TX,Marfa,Presidio County,79843
722618,30.917,-102.917,"C St, Fort Stockton, TX 79735, USA",TX,Fort Stockton,Pecos County,79735
722635,30.511,-99.766,"440 US-83, Junction, TX 76849, USA",TX,Junction,Kimble County,76849
722636,36.017,-102.55,"Hartley County, TX, USA",TX,,Hartley County,
722654,30.912,-102.917,"Unnamed Road, Fort Stockton, TX 79735, USA",TX,Fort Stockton,Pecos County,79735
722655,32.217,-101.517,"Perimeter Rd, Big Spring, TX 79720, USA",TX,Big Spring,Howard County,79720
722657,32.233,-101.5,"1601 Wren St, Big Spring, TX 79720, USA",TX,Big Spring,Howard County,79720
722665,32.433,-99.85,"Dyess AFB, Tye, TX 79563, USA",TX,Tye,Taylor County,79563
722658,30.167,-102.417,"8 Rodeo Arena Rd, Sanderson, TX 79848, USA",TX,Sanderson,Terrell County,79848
722673,33.72,-96.67,"Denison, TX 75020, USA",TX,Denison,Grayson County,75020
722675,33.6,-102.05,"Reese Center, TX 79416, USA",TX,Reese Center,Lubbock County,79416
722707,31.831,-104.809,"Unnamed Road, Salt Flat, TX 79847, USA",TX,,Culberson County,79847
723348,32.533,-99.25,"8153 FM 576, Moran, TX 76464, USA",TX,Moran,Shackelford County,76464
723513,33.967,-98.483,"3500 Old Friberg Rd, Wichita Falls, TX 76305, USA",TX,Wichita Falls,Wichita County,76305
723601,34.427,-100.283,"FM164, Childress, TX 79201, USA",TX,Childress,Childress County,79201
723604,34.427,-100.283,"FM164, Childress, TX 79201, USA",TX,Childress,Childress County,79201
724462,31.307,-95.404,"Crockett, TX 75835, USA",TX,Crockett,Houston County,75835
725021,30.356,-95.008,"17699 FM 787, Cleveland, TX 77327, USA",TX,Cleveland,Liberty County,77327
727511,27.635,-97.312,"3604 Waldron Rd, Corpus Christi, TX 78418, USA",TX,Corpus Christi,Nueces County,78418
747300,30.167,-102.417,"8 Rodeo Arena Rd, Sanderson, TX 79848, USA",TX,Sanderson,Terrell County,79848
747350,33.017,-100.983,"Co Rd 316, Snyder, TX 79549, USA",TX,Snyder,Kent County,79549
749016,31.25,-98.5,"Co Rd 63, Lometa, TX 76853, USA",TX,Lometa,Lampasas County,76853
749017,31.367,-97.717,"W Range Rd, Gatesville, TX 76528, USA",TX,Gatesville,Coryell County,76528
749018,30.25,-98.617,"442 Bailey Rd, Stonewall, TX 78671, USA",TX,Stonewall,Gillespie County,78671
749019,32.8,-98.267,"Rhodes Ranch Rd, Palo Pinto, TX 76484, USA",TX,Palo Pinto,Palo Pinto County,76484
749055,26.4,-98.35,"Unnamed Road, Edinburg, TX 78541, USA",TX,Edinburg,Hidalgo County,78541
749056,29.883,-97.866,"Baker Ave, Maxwell, TX 78656, USA",TX,Maxwell,Caldwell County,78656
749057,28.767,-97.117,"2431 Coletoville Rd E, Victoria, TX 77905, USA",TX,Victoria,Victoria County,77905
749058,29.35,-98.45,"7803 S New Braunfels, Brooks City Base, TX 78235, USA",TX,San Antonio,Bexar County,78235
749091,30.667,-96.55,"6335 Steel Store Rd, Bryan, TX 77807, USA",TX,Bryan,Brazos County,77807
749155,28.867,-100.517,"Unnamed Road, Eagle Pass, TX 78852, USA",TX,Eagle Pass,Maverick County,78852
749159,35.533,-100.75,"Lindel Dairy Rd, Pampa, TX 79065, USA",TX,Pampa,Gray County,79065
749161,31.517,-103.133,"Unnamed Road, Pyote, TX 79777, USA",TX,Pyote,Ward County,79777
749160,31.4,-103.516,"Hospital Helipad, Pecos, TX 79772, USA",TX,Pecos,Reeves County,79772
749162,32.466,-100.466,"Sweetwater, TX 79556, USA",TX,Sweetwater,,79556
749488,31.75,-95.666,"1525 Court Dr, Palestine, TX 75803, USA",TX,Palestine,Anderson County,75803
999999,32.385,-94.712,"390 Central Rd, Longview, TX 75603, USA",TX,Longview,Gregg County,75603
999999,30.589,-96.365,"1 McKenzie Terminal Blvd, College Station, TX 77845, USA",TX,College Station,Brazos County,77845
999999,32.85,-98.05,"Sheridan Rd, Mineral Wells, TX 76067, USA",TX,Mineral Wells,Parker County,76067
999999,32.215,-98.178,"Clark Field Municipal Airport, 1050 Airport Rd, Stephenville, TX 76401, USA",TX,Stephenville,Erath County,76401
999999,32.783,-98.267,"Rhodes Ranch Rd, Palo Pinto, TX 76484, USA",TX,Palo Pinto,Palo Pinto County,76484
999999,29.638,-95.282,"Unnamed Road, Houston, TX 77061, USA",TX,Houston,Harris County,77061
999999,27.533,-99.467,"4102 Airpark Dr, Laredo, TX 78041, USA",TX,Laredo,Webb County,78041
999999,29.883,-97.867,"Baker Ave, Maxwell, TX 78656, USA",TX,Maxwell,Caldwell County,78656
